type_de_culture_FR,type_de_culture_AR,annee,superficie_hectares,production_quintaux
Blé dur en sec,قمح صلب مطري,2007,597,10746
Blé dur en irrigué,قمح صلب مروي,2007,89,2670
Blé tendre en sec,قمح لين مطري,2007,241,3615
Blé tendre en irrigué,قمح لين مروي,2007,0,0
Orge en grains en sec,شعير مطري,2007,615,6765
Orge en grains en irrigué,شعير مروي,2007,0,0
Triticale en sec,تريتيكال مطري,2007,4,100
Triticale en irrigué,تريتيكال مروي,2007,0,0
Autres céréales irrigués,حبوب أخرى,2007,22,242
Blé dur en sec,قمح صلب مطري,2008,625,11250
Blé dur en irrigué,قمح صلب مروي,2008,120,2160
Blé tendre en sec,قمح لين مطري,2008,340,6800
Blé tendre en irrigué,قمح لين مروي,2008,0,0
Orge en grains en sec,شعير مطري,2008,620,11160
Orge en grains en irrigué,شعير مروي,2008,25,450
Triticale en sec,تريتيكال مطري,2008,4,72
Triticale en irrigué,تريتيكال مروي,2008,0,0
Autres céréales irrigués,حبوب أخرى,2008,0,0
Blé dur en sec,قمح صلب مطري,2009,560,9030
Blé dur en irrigué,قمح صلب مروي,2009,150,3750
Blé tendre en sec,قمح لين مطري,2009,230,4140
Blé tendre en irrigué,قمح لين مروي,2009,0,0
Orge en grains en sec,شعير مطري,2009,470,9400
Orge en grains en irrigué,شعير مروي,2009,0,0
Triticale en sec,تريتيكال مطري,2009,40,520
Triticale en irrigué,تريتيكال مروي,2009,0,0
Autres céréales irrigués,حبوب أخرى,2009,0,0
Blé dur en sec,قمح صلب مطري,2010,499,11735
Blé dur en irrigué,قمح صلب مروي,2010,117,4095
Blé tendre en sec,قمح لين مطري,2010,148,3155
Blé tendre en irrigué,قمح لين مروي,2010,28,980
Orge en grains en sec,شعير مطري,2010,666,11638
Orge en grains en irrigué,شعير مروي,2010,25,625
Triticale en sec,تريتيكال مطري,2010,0,0
Triticale en irrigué,تريتيكال مروي,2010,0,0
Autres céréales irrigués,حبوب أخرى,2010,0,0
Blé dur en sec,قمح صلب مطري,2011,391,8210
Blé dur en irrigué,قمح صلب مروي,2011,25,850
Blé tendre en sec,قمح لين مطري,2011,309,7720
Blé tendre en irrigué,قمح لين مروي,2011,30,1050
Orge en grains en sec,شعير مطري,2011,584,11100
Orge en grains en irrigué,شعير مروي,2011,28,700
Triticale en sec,تريتيكال مطري,2011,25,620
Triticale en irrigué,تريتيكال مروي,2011,0,0
Autres céréales irrigués,حبوب أخرى,2011,0,0
Blé dur en sec,قمح صلب مطري,2012,597,16710
Blé dur en irrigué,قمح صلب مروي,2012,25,750
Blé tendre en sec,قمح لين مطري,2012,205,6150
Blé tendre en irrigué,قمح لين مروي,2012,0,0
Orge en grains en sec,شعير مطري,2012,671,13420
Orge en grains en irrigué,شعير مروي,2012,22,550
Triticale en sec,تريتيكال مطري,2012,22,460
Triticale en irrigué,تريتيكال مروي,2012,0,0
Autres céréales irrigués,حبوب أخرى,2012,0,0
Blé dur en sec,قمح صلب مطري,2013,585,15795
Blé dur en irrigué,قمح صلب مروي,2013,55,1650
Blé tendre en sec,قمح لين مطري,2013,287,7749
Blé tendre en irrigué,قمح لين مروي,2013,28,980
Orge en grains en sec,شعير مطري,2013,544,10880
Orge en grains en irrigué,شعير مروي,2013,0,0
Triticale en sec,تريتيكال مطري,2013,1,25
Triticale en irrigué,تريتيكال مروي,2013,0,0
Autres céréales irrigués,حبوب أخرى,2013,0,0
Blé dur en sec,قمح صلب مطري,2014,634,14964
Blé dur en irrigué,قمح صلب مروي,2014,42,1260
Blé tendre en sec,قمح لين مطري,2014,210,5110
Blé tendre en irrigué,قمح لين مروي,2014,20,640
Orge en grains en sec,شعير مطري,2014,670,14070
Orge en grains en irrigué,شعير مروي,2014,0,0
Triticale en sec,تريتيكال مطري,2014,2,50
Triticale en irrigué,تريتيكال مروي,2014,0,0
Autres céréales irrigués,حبوب أخرى,2014,0,0
Blé dur en sec,قمح صلب مطري,2015,625,12275
Blé dur en irrigué,قمح صلب مروي,2015,50,1225
Blé tendre en sec,قمح لين مطري,2015,222,5258
Blé tendre en irrigué,قمح لين مروي,2015,28,742
Orge en grains en sec,شعير مطري,2015,670,10385
Orge en grains en irrigué,شعير مروي,2015,0,0
Triticale en sec,تريتيكال مطري,2015,0,0
Triticale en irrigué,تريتيكال مروي,2015,0,0
Autres céréales irrigués,حبوب أخرى,2015,0,0
Blé dur en sec,قمح صلب مطري,2016,425,7152
Blé dur en irrigué,قمح صلب مروي,2016,69,1246
Blé tendre en sec,قمح لين مطري,2016,150,2400
Blé tendre en irrigué,قمح لين مروي,2016,0,0
Orge en grains en sec,شعير مطري,2016,660,11220
Orge en grains en irrigué,شعير مروي,2016,0,0
Triticale en sec,تريتيكال مطري,2016,0,0
Triticale en irrigué,تريتيكال مروي,2016,0,0
Autres céréales irrigués,حبوب أخرى,2016,0,0
Blé dur en sec,قمح صلب مطري,2017,550,15950
Blé dur en irrigué,قمح صلب مروي,2017,41,1230
Blé tendre en sec,قمح لين مطري,2017,150,4031
Blé tendre en irrigué,قمح لين مروي,2017,28,896
Orge en grains en sec,شعير مطري,2017,600,10656
Orge en grains en irrigué,شعير مروي,2017,12,204
Triticale en sec,تريتيكال مطري,2017,"0,5","11,5"
Triticale en irrigué,تريتيكال مروي,2017,0,0
Autres céréales irrigués,حبوب أخرى,2017,0,0
Blé dur en sec,قمح صلب مطري,2018,500,10850
Blé dur en irrigué,قمح صلب مروي,2018,50,1250
Blé tendre en sec,قمح لين مطري,2018,"124,5",1576
Blé tendre en irrigué,قمح لين مروي,2018,20,440
Orge en grains en sec,شعير مطري,2018,650,13397
Orge en grains en irrigué,شعير مروي,2018,0,0
Triticale en sec,تريتيكال مطري,2018,10,170
Triticale en irrigué,تريتيكال مروي,2018,0,0
Autres céréales irrigués,حبوب أخرى,2018,0,0
Blé dur en sec,قمح صلب مطري,2019,540,14580
Blé dur en irrigué,قمح صلب مروي,2019,0,0
Blé tendre en sec,قمح لين مطري,2019,260,8320
Blé tendre en irrigué,قمح لين مروي,2019,0,0
Orge en grains en sec,شعير مطري,2019,700,11900
Orge en grains en irrigué,شعير مروي,2019,0,0
Triticale en sec,تريتيكال مطري,2019,10,260
Triticale en irrigué,تريتيكال مروي,2019,0,0
Autres céréales irrigués,حبوب أخرى,2019,0,0