délégation;nbre d'habitants;nḞ hab approv;;d'approv %;;nbre total des hab approv;total %
;;génie rurale;SONEDE;génie rurale;SONEDE;;
om larayes;7543;4323;2940;57,31;38,97;7263;96.29
redeyef;1873;108;1698;5,77;90,69;1806;96.46
metlaoui;1914;0;1841;0;96,2;1841;96.20
gafsa sud;6316;4121;1980;65,25;31,35;6101;96.60
gsar;2675;1764;943;65,95;35,24;2707;101.18
mdhilla;2572;974;1584;37,87;61,57;2558;99.44
gafsa nord;9793;9647;0;98,51;0;9647;98.51
sidi aich;8638;6680;1958;77,33;22,67;8638;100.00
sened;26650;19419;7172;72,87;26,91;26591;99.78
guetar;6650;1423;5115;21,4;76,91;6538;98.31
belkhir;15784;8101;7210;51,32;45,68;15311;97.01
total;90407;56560;32441;62,56;35,88;89001;98.44
