Date,PrixMin,PrixMax,PrixMoyen
2022-12-22,13800,14500,14031.8
2022-12-21,13800,14375,14094.7
2022-12-20,13800,14314,14053.5
2022-12-19,13800,14500,14070.0
2022-12-18,13800,14500,14070.0
2022-12-17,13800,14500,14118.2
2022-12-16,13800,14500,14117.3
2022-12-15,13800,14500,14139.7
2022-12-14,13800,14500,14182.4
2022-12-13,13800,14500,14095.4
2022-12-12,13800,14398,14099.3
2022-12-11,13800,14200,13969.7
2022-12-10,13800,14363,14068.0
2022-12-09,13800,14500,14153.6
2022-12-08,13800,14500,14151.6
2022-12-07,13800,14600,14390.5
2022-12-06,13800,14500,14364.3
2022-12-05,13800,14500,14311.2
2022-12-04,13800,14500,14279.8
2022-12-03,13800,14500,14308.8
2022-12-02,13800,14500,14368.0
2022-12-01,14200,14500,14406.8
2022-11-30,14200,14500,14399.8
2022-11-29,14200,14500,14419.5
2022-11-28,14200,14500,14409.7
2022-11-27,13509,14500,14205.8
2022-11-26,13509,14500,14205.8
2022-11-25,13500,14200,13793.6
2022-11-24,13500,14200,13836.0
2022-11-23,13700,14391,14090.0
2022-11-22,13600,14379,14039.7
2022-11-21,13700,14500,14213.5
2022-11-20,13700,14500,14219.8
2022-11-19,13700,14500,14229.8
2022-11-18,13700,14900,14284.0
2022-11-17,14473,14900,14547.0
2022-11-16,14473,14900,14580.3
2022-11-15,14471,14900,14581.7
2022-11-14,14300,14900,14583.1
2022-11-13,14500,14900,14649.8
2022-11-12,14500,14900,14649.8
2022-11-11,14478,14900,14737.8
2022-11-10,14477,14900,14737.7
2022-11-09,14500,14900,14737.2
2022-11-08,14482,14900,14721.8
2022-11-07,14474,14900,14707.2
2022-11-06,14500,14900,14673.8
2022-11-05,14500,14900,14673.8
2022-11-04,14471,14900,14691.4
2022-11-03,14300,15000,14686.4
2022-11-02,14300,14900,14704.8
2022-11-01,14500,14900,14741.5
2022-10-31,14482,14900,14718.7
2022-10-30,14452,14900,14685.9
2022-10-29,14452,14900,14685.9
2022-10-28,14483,14900,14691.5
2022-10-27,14484,14900,14719.0
2022-10-26,14500,14900,14787.2
2022-10-25,14475,14900,14717.7
2022-10-24,14489,14900,14719.7
2022-10-23,14480,14900,14718.4
2022-10-22,14480,14900,14718.4
2022-10-21,14482,14900,14746.8
2022-10-20,14482,14900,14786.2
2022-10-19,14474,14999,14824.6
2022-10-18,14479,14999,14825.6
2022-10-17,14490,14999,14756.5
2022-10-16,14500,14900,14724.8
2022-10-15,14500,14900,14724.8
2022-10-14,14479,14900,14721.3
2022-10-13,14489,15200,14772.3
2022-10-12,14469,15200,14769.0
2022-10-11,14482,15200,14770.3
2022-10-10,14500,15200,14828.0
2022-10-09,14500,15200,14790.0
2022-10-08,14500,14900,14750.0
2022-10-07,14480,15100,14736.7
2022-10-06,14486,15200,14707.2
2022-10-05,14469,15200,14736.5
2022-10-04,14475,15200,14737.5
2022-10-03,14483,15200,14786.6
2022-10-02,14485,15200,14787.0
2022-10-01,14485,15200,14787.0
2022-09-30,14492,15200,14740.3
2022-09-29,14433,15200,14730.5
2022-09-28,14488,15200,14754.7
2022-09-27,14481,15200,14716.2
2022-09-26,14492,15200,14740.3
2022-09-25,14500,15200,14862.5
2022-09-24,14500,15200,14862.5
2022-09-23,14500,15200,14790.0
2022-09-22,14479,15200,14785.8
2022-09-21,14484,15200,14755.7
2022-09-20,14480,15200,14755.0
2022-09-19,14300,15000,14687.2
2022-09-18,14300,15000,14742.6
2022-09-17,14300,15000,14742.6
2022-09-16,14496,14990,14789.3
2022-09-15,14497,14990,14839.5
2022-09-14,14749,14990,14881.5
2022-09-13,14772,14990,14893.7
2022-09-12,14800,14990,14898.0
2022-09-11,14749,14990,14872.2
2022-09-10,14749,14990,14872.2
2022-09-09,14800,14990,14890.8
2022-09-08,14800,14990,14893.2
2022-09-07,14800,14990,14908.0
2022-09-06,14800,14990,14888.0
2022-09-05,14800,14990,14891.2
2022-09-04,14800,14990,14894.7
2022-09-03,14800,14990,14894.7
2022-09-02,14800,14990,14893.7
2022-09-01,14700,14990,14885.0
2022-08-31,14700,14900,14864.8
2022-08-30,14700,15600,14991.7
2022-08-29,14800,15600,15107.7
2022-08-28,14800,15600,15212.5
2022-08-27,14800,15600,15131.2
2022-08-26,14833,15600,15034.6
2022-08-25,14821,15600,15135.2
2022-08-24,14816,15600,15134.3
2022-08-23,14805,15500,15029.0
2022-08-22,14773,15500,15095.5
2022-08-21,14755,15500,15076.2
2022-08-20,14755,15500,15076.2
2022-08-19,14700,15300,14918.8
2022-08-18,14900,15000,14925.0
2022-08-17,14600,15100,14880.5
2022-08-16,14600,15500,14941.7
2022-08-15,14654,15100,14875.7
2022-08-14,14700,15100,14872.8
2022-08-13,14700,15100,14872.8
2022-08-12,14600,15000,14796.7
2022-08-11,14600,14900,14764.7
2022-08-10,14500,14900,14673.0
2022-08-09,14400,14900,14614.3
2022-08-08,14300,14800,14561.8
2022-08-07,14300,14800,14496.2
2022-08-06,14300,14800,14495.8
2022-08-05,14300,14600,14450.0
2022-08-04,14300,14700,14463.3
2022-08-03,14000,14600,14300.8
2022-08-02,14200,14700,14398.4
2022-08-01,14100,14600,14462.8
2022-07-31,14000,14600,14416.8
2022-07-30,13800,14500,14216.8
2022-07-29,13800,14500,14210.2
2022-07-28,13700,14042,13868.4
2022-07-27,13500,13800,13619.0
2022-07-26,13600,13900,13756.2
2022-07-25,13600,13800,13715.0
2022-07-24,13600,13800,13750.0
2022-07-23,13600,13800,13719.0
2022-07-22,13500,13900,13702.6
2022-07-21,13669,13900,13742.2
2022-07-20,13000,14000,13684.2
2022-07-19,13000,14000,13602.2
2022-07-18,13000,13700,13412.4
2022-07-17,13000,13800,13420.0
2022-07-16,13000,13800,13413.0
2022-07-15,13000,13800,13379.0
2022-07-14,13000,14100,13618.1
2022-07-13,13000,14100,13419.0
2022-07-12,12200,13900,13133.2
2022-07-11,12200,12800,12500.0
2022-07-10,12200,13800,12933.3
2022-07-09,12200,13800,12933.3
2022-07-08,12200,13800,12933.3
2022-07-07,12200,13800,12925.2
2022-07-06,12200,13800,13185.2
2022-07-05,12200,13600,12822.5
2022-07-04,11800,12800,12444.8
2022-07-03,11700,12200,11936.0
2022-07-02,11500,12200,11848.5
2022-07-01,11200,11800,11589.0
2022-06-30,10400,11700,11232.2
2022-06-29,10400,11700,11174.8
2022-06-28,10400,11700,10954.8
2022-06-27,10500,11700,10826.5
2022-06-26,10500,11800,10809.5
2022-06-25,10500,11800,10809.5
2022-06-24,10300,11800,10755.2
2022-06-23,10300,11800,10912.4
2022-06-22,10800,11800,11088.8
2022-06-21,10800,11800,11241.8
2022-06-20,10800,11800,11345.6
2022-06-19,10800,11800,11388.8
2022-06-18,10800,11800,11388.8
2022-06-17,11100,11800,11460.5
2022-06-16,10900,11800,11428.0
2022-06-15,11000,11800,11497.8
2022-06-14,11000,11850,11412.2
2022-06-13,10600,11400,11123.8
2022-06-12,10600,11400,11142.5
2022-06-11,10600,11400,11142.5
2022-06-10,10800,11400,11161.4
2022-06-09,10800,11400,11090.0
2022-06-08,10800,11400,11106.0
2022-06-07,10800,11400,11120.0
2022-06-06,10300,11300,10858.0
2022-06-05,10300,11300,10720.0
2022-06-04,10300,11300,10749.7
2022-06-03,10500,11300,10759.3
2022-06-02,10500,11300,10833.3
2022-06-01,10700,11300,10972.0
2022-05-31,10700,11300,10957.7
2022-05-30,10500,11200,10879.8
2022-05-29,10500,11200,10905.0
2022-05-28,10500,11200,10905.0
2022-05-27,10700,11800,11089.3
2022-05-26,10700,11800,11130.0
2022-05-25,10700,11800,11137.3
2022-05-24,10700,11800,11146.2
2022-05-23,10700,11300,11089.3
2022-05-22,10700,11256,11041.2
2022-05-21,10700,11256,11041.2
2022-05-20,10200,11207,10871.4
2022-05-19,10200,11600,10998.4
2022-05-18,10700,11600,11139.2
2022-05-17,11000,12000,11383.8
2022-05-16,11000,12000,11627.7
2022-05-15,11000,12000,11648.3
2022-05-14,11000,12000,11698.8
2022-05-13,11500,13500,12349.7
2022-05-12,12000,13500,12633.3
2022-05-11,12700,13500,13121.2
2022-05-10,12941,13500,13206.8
2022-05-09,12918,13500,13279.5
2022-05-08,12888,13500,13184.5
2022-05-07,12880,13500,13182.5
2022-05-06,12662,13500,13152.0
2022-05-05,12541,13500,12965.2
2022-05-04,12472,13500,12824.4
2022-05-03,10487,13500,11117.4
2022-05-02,10500,13500,11275.0
2022-05-01,10500,13500,11275.0
2022-04-30,10500,13500,11275.0
2022-04-29,10500,10700,10525.0
2022-04-28,10437,10700,10507.4
2022-04-27,10439,10700,10507.8
2022-04-26,10400,10700,10491.8
2022-04-25,10446,10700,10536.5
2022-04-24,10000,10700,10437.0
2022-04-23,10000,10700,10437.0
2022-04-22,10000,10700,10375.0
2022-04-21,10000,10700,10400.2
2022-04-20,10000,10700,10443.8
2022-04-19,10000,10500,10381.5
2022-04-18,10000,10700,10425.7
2022-04-17,10000,10700,10434.0
2022-04-16,10000,10700,10434.0
2022-04-15,10000,10700,10390.7
2022-04-14,10000,10700,10389.0
2022-04-13,10000,10700,10424.1
2022-04-12,10000,10700,10425.5
2022-04-11,10000,10500,10389.8
2022-04-10,10000,10700,10408.3
2022-04-09,10000,10700,10409.0
2022-04-08,10000,10700,10435.6
2022-04-07,10000,10700,10386.6
2022-04-06,10000,10700,10475.3
2022-04-05,10400,10700,10507.0
2022-04-04,10400,10700,10509.9
2022-04-03,10400,10700,10509.0
2022-04-02,10400,10700,10509.0
2022-04-01,10400,11500,10627.3
2022-03-31,10000,11500,10961.6
2022-03-30,10000,11054,10664.9
2022-03-29,10000,10700,10474.0
2022-03-28,10000,10700,10448.3
2022-03-27,10000,10700,10264.6
2022-03-26,10000,10700,10264.6
2022-03-25,10000,10500,10143.0
2022-03-24,9500,10500,9843.3
2022-03-23,9500,10500,9868.8
2022-03-22,9700,10500,9937.7
2022-03-21,9700,10500,10035.8
2022-03-20,10000,10500,10149.0
2022-03-19,10000,10500,10149.0
2022-03-18,9700,10500,10013.6
2022-03-17,9600,10500,9910.7
2022-03-16,10000,10800,10195.8
2022-03-15,9750,11000,10256.0
2022-03-14,9500,11000,10212.5
2022-03-13,10000,11000,10353.2
2022-03-12,10000,11000,10353.2
2022-03-11,9500,11000,10124.3
2022-03-10,9400,11000,9944.3
2022-03-09,9500,11000,10044.3
2022-03-08,9450,11000,10065.0
2022-03-07,9300,11000,10084.9
2022-03-06,9200,11000,10032.8
2022-03-05,9200,11000,10044.6
2022-03-04,9200,10500,9835.3
2022-03-03,9500,10500,10026.5
2022-03-02,9450,10500,9971.4
2022-03-01,9800,10500,10217.2
2022-02-28,9750,10600,10160.1
2022-02-27,9800,10600,10244.0
2022-02-26,9800,10600,10244.0
2022-02-25,9800,10600,10137.0
2022-02-24,9800,10600,10148.3
2022-02-23,9800,10700,10416.0
2022-02-22,9800,10800,10428.1
2022-02-21,9800,10800,10359.2
2022-02-20,9700,10800,10167.0
2022-02-19,9700,10800,10167.0
2022-02-18,9200,10500,9755.8
2022-02-17,9300,10500,9803.7
2022-02-16,9500,10000,9727.6
2022-02-15,9350,10500,9874.6
2022-02-14,9500,10600,9913.3
2022-02-13,9650,10500,9964.5
2022-02-12,9858,10500,10069.3
2022-02-11,9500,10900,10160.2
2022-02-10,9500,10900,10194.8
2022-02-09,9800,10900,10323.2
2022-02-08,9800,10900,10236.0
2022-02-07,10000,10900,10277.1
2022-02-06,10000,10900,10338.3
2022-02-05,10000,10900,10338.3
2022-02-04,10000,10900,10282.1
2022-02-03,10000,10900,10330.3
2022-02-02,10000,10900,10452.0
2022-02-01,10500,10900,10605.2
2022-01-31,10000,11000,10525.6
2022-01-30,10000,11000,10487.5
2022-01-29,10000,11000,10506.6
2022-01-28,10000,11000,10475.4
2022-01-27,10200,12400,10646.1
2022-01-26,10500,11000,10675.0
2022-01-25,10200,11000,10572.7
2022-01-24,10200,11000,10533.1
2022-01-23,10350,11000,10598.0
2022-01-22,10500,11000,10660.0
2022-01-21,10200,11500,10756.3
2022-01-20,10500,12200,11112.3
2022-01-19,11000,12200,11545.5
2022-01-18,10750,12200,11337.4
2022-01-17,11000,12200,11541.8
2022-01-16,11381,12200,11707.8
2022-01-15,11381,12200,11707.8
2022-01-14,11200,12200,11718.4
2022-01-13,11500,12200,11808.8
2022-01-12,11500,12600,12087.3
2022-01-11,12000,13500,12399.4
2022-01-10,12500,13500,12828.2
2022-01-09,12500,13500,12988.2
2022-01-08,12500,13500,12988.2
2022-01-07,12500,13500,12912.7
2022-01-06,11800,13200,12620.0
2022-01-05,11500,12500,12100.0
2022-01-04,11500,12400,11925.0
2022-01-03,11500,12400,11908.3
2022-01-02,12000,12300,12150.0
2022-01-01,12000,12300,12125.0
2021-12-31,10900,12000,11533.3
2021-12-30,10600,11800,11408.3
2021-12-29,10812,11000,10920.7
2021-12-28,10292,11200,10747.3
2021-12-27,10000,11000,10568.7
2021-12-26,10600,11000,10800.0
2021-12-25,10600,11000,10799.7
2021-12-24,10200,11400,10948.4
2021-12-23,10853,11800,11242.2
