secteur,Annee,Nbre_operateur
دجاج لحم,2011,859
دجاج بياض,2011,179
أمهات دجاج لحم,2011,57
أمهات دجاج بيض,2011,4
ديك رومي,2011,4
إنتاج ديك رومي,2011,2
مذبح ديك رومي,2011,9
أمهات ديك رومي,2011,2
مذبح دجاج لحم,2011,11
أرانب لحم,2011,
أمهات و فحول الأرانب,2011,
دجاج لحم,2012,754
دجاج بياض,2012,144
أمهات دجاج لحم,2012,27
أمهات دجاج بيض,2012,3
ديك رومي,2012,3
إنتاج ديك رومي,2012,2
مذبح ديك رومي,2012,12
أمهات ديك رومي,2012,2
مذبح دجاج لحم,2012,12
أرانب لحم,2012,
أمهات و فحول الأرانب,2012,
دجاج لحم,2013,482
دجاج بياض,2013,140
أمهات دجاج لحم,2013,22
أمهات دجاج بيض,2013,3
ديك رومي,2013,2
إنتاج ديك رومي,2013,13
مذبح ديك رومي,2013,2
أمهات ديك رومي,2013,3
مذبح دجاج لحم,2013,13
أرانب لحم,2013,
أمهات و فحول الأرانب,2013,
دجاج لحم,2014,307
دجاج بياض,2014,103
أمهات دجاج لحم,2014,13
أمهات دجاج بيض,2014,2
ديك رومي,2014,1
إنتاج ديك رومي,2014,10
مذبح ديك رومي,2014,2
أمهات ديك رومي,2014,2
مذبح دجاج لحم,2014,11
أرانب لحم,2014,
أمهات و فحول الأرانب,2014,
دجاج لحم,2015,242
دجاج بياض,2015,85
أمهات دجاج لحم,2015,17
أمهات دجاج بيض,2015,3
ديك رومي,2015,1
إنتاج ديك رومي,2015,3
مذبح ديك رومي,2015,11
أمهات ديك رومي,2015,2
مذبح دجاج لحم,2015,11
أرانب لحم,2015,
أمهات و فحول الأرانب,2015,
دجاج لحم,2016,216
دجاج بياض,2016,65
أمهات دجاج لحم,2016,23
أمهات دجاج بيض,2016,2
ديك رومي,2016,1
إنتاج ديك رومي,2016,2
مذبح ديك رومي,2016,6
أمهات ديك رومي,2016,2
مذبح دجاج لحم,2016,7
أرانب لحم,2016,9
أمهات و فحول الأرانب,2016,2
دجاج لحم,2017,360
دجاج بياض,2017,71
أمهات دجاج لحم,2017,37
أمهات دجاج بيض,2017,4
ديك رومي,2017,4
إنتاج ديك رومي,2017,11
مذبح ديك رومي,2017,2
أمهات ديك رومي,2017,2
مذبح دجاج لحم,2017,12
أرانب لحم,2017,22
أمهات و فحول الأرانب,2017,2
دجاج لحم,2018,988
دجاج بياض,2018,178
أمهات دجاج لحم,2018,72
أمهات دجاج بيض,2018,3
ديك رومي,2018,20
إنتاج ديك رومي,2018,1
مذبح ديك رومي,2018,17
أمهات ديك رومي,2018,2
مذبح دجاج لحم,2018,20
أرانب لحم,2018,3
أمهات و فحول الأرانب,2018,1