port_ou_site_abrite,type_barque,nbre_actif,nbre_non_actif,main_oeuvre
حلق الوادي,مراكب صيد ساحلي مجهزة بمحرك,88,6,332
حلق الوادي,مراكب صيد ساحلي بدون بمحرك,28,3,65
حلق الوادي,وحدات الصيد بالجر,21,2,273
حلق الوادي,وحدات صيد سمك أزرق,8,0,64
حلق الوادي,الصيد على الأقدام,24,0,24
سيدي بوسعيد,مراكب صيد ساحلي مجهزة بمحرك,42,3,136
سيدي بوسعيد,مراكب صيد ساحلي بدون بمحرك,5,1,14
صلامبو,مراكب صيد ساحلي مجهزة بمحرك,53,2,143
صلامبو,مراكب صيد ساحلي بدون بمحرك,3,0,9
قمرت والمرسى,مراكب صيد ساحلي مجهزة بمحرك,81,4,219
قمرت والمرسى,مراكب صيد ساحلي بدون بمحرك,4,0,10
خير الدين,مراكب صيد ساحلي مجهزة بمحرك,35,1,91
بحيرة تونس الشمالية ,مراكب صيد ساحلي بدون بمحرك,27,0,65
بحيرة تونس الشمالية ,المصائد الثابتة للحنشة,9,0,67